City,Population,Lat,Long
Haßloch,20387,49.3610,8.2578
Heide,22114,54.1952,9.1019
Heidelberg,162273,49.3988,8.6724
Heidenheim an der Brenz,50025,48.6894,10.1611
Heilbronn,128334,49.1427,9.2109
Heiligenhaus,26681,51.3273,6.9656
Heinsberg,43476,51.0600,6.1184
Helmstedt,25779,52.2290,11.0095
Hemer,34024,51.3830,7.7743
Hennef,48002,50.7603,7.3465
Hennigsdorf,26728,52.6320,13.2011
Henstedt-Ulzburg,28323,53.7905,9.9805
Heppenheim,26946,49.6430,8.6675
Herborn,20894,50.6784,8.2997
Herdecke,22758,51.4032,7.4328
Herford,67459,52.1178,8.6794
Herne,157368,51.5369,7.2009
Herrenberg,32649,48.5950,8.8672
Herten,62473,51.6021,7.1390
Herzogenaurach,24404,49.5683,10.8829
Herzogenrath,46941,50.8650,6.0912
Hilden,55815,51.1679,6.9352
Hildesheim,101858,52.1548,9.9580
Hockenheim,21745,49.3196,8.5499
Hof,46656,50.3135,11.9128
Hofheim am Taunus,40371,50.0842,8.4432
Hohen Neuendorf,27139,52.6721,13.2787
Holzminden,20120,51.8238,9.4559
Homburg,42297,49.3296,7.3398
Horb am Neckar,25752,48.4421,8.6849
Hoyerswerda,31356,51.4389,14.2536
Husum,23735,54.4838,9.0601
Hörstel,20766,52.2959,7.5839
Höxter,28709,51.7775,9.3771
Hückelhoven,41301,51.0533,6.2226
Hürth,60969,50.8806,6.8881
Ibbenbüren,52421,52.2768,7.7190
Idar-Oberstein,28851,49.7145,7.3072
Idstein,25554,50.2172,8.2659
Ilmenau,39127,50.6844,10.9255
Ilsede,22206,52.2627,10.1931
Ingelheim am Rhein,36002,49.9764,8.0561
Ingolstadt,141029,48.7665,11.4258
Iserlohn,92540,51.3765,7.6961
Isernhagen,24563,52.4781,9.8017
Itzehoe,32258,53.9318,9.5051
Jena,111191,50.9271,11.5892
Jüchen,23940,51.1007,6.5038
Jülich,33158,50.9224,6.3639
Kaarst,44253,51.2241,6.6172
Kaiserslautern,101228,49.4401,7.7491
Kaltenkirchen,23538,53.8306,9.9586
Kamen,43058,51.5883,7.6590
Kamp-Lintfort,38665,51.4958,6.5321
Karben,23172,50.2304,8.7737
Karlsfeld,22069,48.2291,11.4744
Karlsruhe,308707,49.0069,8.4037
Kassel,204202,51.3127,9.4797
Kaufbeuren,45792,47.8830,10.6260
Kehl,38154,48.5789,7.8161
Kelkheim,29112,50.1349,8.4512
Kempen,34841,51.3650,6.4205
Kempten,70056,47.7286,10.3158
Kerpen,67239,50.8748,6.6884
Kevelaer,28232,51.5813,6.2458
Kiel,247717,54.3233,10.1228
Kirchheim unter Teck,41907,48.6471,9.4520
Kitzingen,22945,49.7341,10.1474
Kleinmachnow,20341,52.4079,13.2227
Kleve,53388,51.7867,6.1295
Koblenz,115268,50.3569,7.5890
Konstanz,85859,47.6779,9.1732
Korbach,23706,51.2774,8.8710
Kornwestheim,34130,48.8651,9.1858
Korschenbroich,34187,51.1895,6.5144
Krefeld,228426,51.3388,6.5853
Kreuztal,31197,50.9694,7.9924
Kulmbach,25818,50.1039,11.4448
Köln,1084831,50.9413,6.9583
Königs Wusterhausen,38929,52.2959,13.6228
Königsbrunn,28231,48.2731,10.8894
Königswinter,41495,50.6920,7.1862
Köthen,25116,51.7506,11.9802
Kürten,20128,51.0532,7.2634
Laatzen,42675,52.3082,9.8086
Lage,35423,51.9944,8.7995
Lahr/Schwarzwald,49074,48.3392,7.8781
Lampertheim,32870,49.5997,8.4666
Landau in der Pfalz,47610,49.1989,8.1186
Landsberg am Lech,29551,48.0508,10.8704
Landshut,75457,48.5442,12.1469
Langen,39217,49.9915,8.6634
Langenfeld,59783,51.1192,6.9513
Langenhagen,55367,52.4528,9.7444
Lauf an der Pegnitz,26420,49.5110,11.2780
Laupheim,22863,48.2304,9.8829
Leer,35663,53.2357,7.4679
Lehrte,44823,52.3746,9.9784
Leichlingen,28048,51.1025,7.0096
Leimen,27142,49.3491,8.6879
Leinefelde-Worbis,20119,51.4071,10.3306
Leinfelden-Echterdingen,40420,48.6980,9.1407
Leipzig,616093,51.3397,12.3731
Lemgo,40594,52.0267,8.9019
Lengerich,22980,52.1823,7.8626
Lennestadt,25352,51.1038,8.0733
Leonberg,49512,48.7960,9.0096
Leutkirch im Allgäu,23345,47.8267,10.0214
Leverkusen,165748,51.0459,7.0192
Lichtenfels,20217,50.1433,11.0630
Lilienthal,20293,53.1491,8.9134
Limbach-Oberfrohna,23833,50.8576,12.7537
Limburg an der Lahn,36053,50.3986,8.0796
Lindau,25846,47.5798,9.6789
Lindlar,21665,51.0189,7.3766
Lingen,56542,52.5403,7.3293
Lippstadt,68890,51.6712,8.3406
Lohmar,30846,50.8378,7.2127
Lohne,27814,52.6506,8.2626
Luckenwalde,20839,52.0904,13.1637
Ludwigsburg,94157,48.8941,9.1955
Ludwigsfelde,28424,52.3011,13.2616
Ludwigshafen am Rhein,174265,49.4774,8.4452
Lutherstadt Eisleben,22639,51.5195,11.5577
Lutherstadt Wittenberg,45535,51.8740,12.6280
Löhne,40265,52.1984,8.7146
Lörrach,49876,47.6169,7.6709
Lübbecke,26027,52.3097,8.6223
Lübeck,218095,53.8655,10.6866
Lüdenscheid,71865,51.2191,7.6313
Lüdinghausen,25259,51.7682,7.4466
Lüneburg,76837,53.2464,10.4115
Lünen,86868,51.6105,7.5285
Magdeburg,239364,52.1205,11.6276
Maintal,39815,50.1472,8.8250
Mainz,220552,49.9929,8.2473
Mannheim,315554,49.4875,8.4660
Marburg,77845,50.8022,8.7668
Markkleeberg,24523,51.2749,12.3665
Marl,84331,51.6591,7.1060
Mechernich,28567,50.5917,6.6531
Meckenheim,24877,50.6259,7.0320
Meerbusch,57422,51.2504,6.6907
Meinerzhagen,20812,51.1053,7.6509
Meiningen,24745,50.5739,10.4190
Meißen,29011,51.1618,13.4977
Melle,47228,52.2033,8.3373
Memmingen,45857,47.9838,10.1802
Menden,52485,51.4377,7.7953
Meppen,36117,52.6953,7.2994
Merseburg,34335,51.3563,11.9917
Merzig,30051,49.4490,6.6438
Meschede,30025,51.3511,8.2851
Mettmann,39134,51.2507,6.9740
Metzingen,22528,48.5399,9.2864
Minden,83076,52.2965,8.8949
Moers,105287,51.4516,6.6408
Monheim am Rhein,43050,51.0892,6.8946
Moormerland,24055,53.3076,7.4800
Mosbach,23484,49.3489,9.1294
Mönchengladbach,268465,51.1805,6.4428
Mörfelden-Walldorf,35291,49.9807,8.5615
Mössingen,20900,48.4072,9.0563
Mühlacker,26394,48.9489,8.8524
Mühldorf am Inn,21697,48.2458,12.5220
Mühlhausen/Thüringen,36226,51.2099,10.4571
Mühlheim am Main,29252,50.1202,8.8383
Mülheim an der Ruhr,172404,51.4186,6.8845
München,1512491,48.1372,11.5755
Münster,320946,51.9607,7.6261
Nagold,22985,48.5474,8.7235
Naumburg,32289,51.1520,11.8142
Neckarsulm,26495,49.1923,9.2287
Netphen,23363,50.9151,8.1073
Nettetal,43095,51.3263,6.2721
Neu Wulmstorf,22450,53.4641,9.7912
Neu-Isenburg,39287,50.0522,8.6953
Neu-Ulm,61043,48.3906,10.0060
Neubrandenburg,63989,53.5678,13.2779
Neuburg an der Donau,30467,48.7303,11.1888
Neufahrn bei Freising,20590,48.3150,11.6618
Neukirchen-Vluyn,27956,51.4424,6.5537
Neumarkt in der Oberpfalz,40808,49.2773,11.4672
Neumünster,79502,54.0729,9.9840
Neunkirchen,46882,49.3518,7.1864
Neunkirchen-Seelscheid,20109,50.8553,7.3319
Neuruppin,31422,52.9155,12.7991
Neuss,154139,51.2042,6.6880
Neustadt am Rübenberge,45262,52.5036,9.4518
Neustadt an der Weinstraße,53981,49.35,8.15
Neustrelitz,20340,53.3601,13.0730
Neusäß,22872,48.4,10.833
Neuwied,65986,50.4362,7.4665
Nidderau,20700,50.2465,8.8831
Niederkassel,39281,50.8153,7.0377
Nienburg/Weser,32126,52.6381,9.2084
Norden,25179,53.5988,7.1967
Nordenham,26308,53.4986,8.4924
Norderstedt,81880,53.6993,10.0009
Nordhausen,41339,51.4991,10.7916
Nordhorn,55242,52.4296,7.0686
Northeim,29440,51.7002,9.9959
Nördlingen,21009,48.8508,10.4895
Nürnberg,523026,49.4521,11.0767
Nürtingen,41403,48.6244,9.3469
Oberhausen,210824,51.4963,6.8638
Oberkirch,20092,48.5336,8.0768
